run_date,raceConcept,variable,value,Range
2020-07-13,American Indian or Alaska Native,ARIVisitInTimeRange,109,"['2020-01-01', '2020-07-13']"
2020-07-13,Asian,ARIVisitInTimeRange,7481,"['2020-01-01', '2020-07-13']"
2020-07-13,Black or African American,ARIVisitInTimeRange,1531,"['2020-01-01', '2020-07-13']"
2020-07-13,Native Hawaiian or Other Pacific Islander,ARIVisitInTimeRange,483,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,ARIVisitInTimeRange,14589,"['2020-01-01', '2020-07-13']"
2020-07-13,White,ARIVisitInTimeRange,19060,"['2020-01-01', '2020-07-13']"
2020-07-13,American Indian or Alaska Native,SARSCoV2TestedInTimeRange,202,"['2020-01-01', '2020-07-13']"
2020-07-13,Asian,SARSCoV2TestedInTimeRange,10180,"['2020-01-01', '2020-07-13']"
2020-07-13,Black or African American,SARSCoV2TestedInTimeRange,2237,"['2020-01-01', '2020-07-13']"
2020-07-13,Native Hawaiian or Other Pacific Islander,SARSCoV2TestedInTimeRange,733,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2TestedInTimeRange,29825,"['2020-01-01', '2020-07-13']"
2020-07-13,White,SARSCoV2TestedInTimeRange,30840,"['2020-01-01', '2020-07-13']"
2020-07-13,American Indian or Alaska Native,SARSCoV2DetectedInTimeRange,5,"['2020-01-01', '2020-07-13']"
2020-07-13,Asian,SARSCoV2DetectedInTimeRange,162,"['2020-01-01', '2020-07-13']"
2020-07-13,Black or African American,SARSCoV2DetectedInTimeRange,49,"['2020-01-01', '2020-07-13']"
2020-07-13,Native Hawaiian or Other Pacific Islander,SARSCoV2DetectedInTimeRange,21,"['2020-01-01', '2020-07-13']"
2020-07-13,No matching concept,SARSCoV2DetectedInTimeRange,1672,"['2020-01-01', '2020-07-13']"
2020-07-13,White,SARSCoV2DetectedInTimeRange,578,"['2020-01-01', '2020-07-13']"
2020-07-13,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2TestedInDayRange,22,"[-1, 14]"
2020-07-13,Asian,firstorLastARItoFirstSARSCoV2TestedInDayRange,1309,"[-1, 14]"
2020-07-13,Black or African American,firstorLastARItoFirstSARSCoV2TestedInDayRange,279,"[-1, 14]"
2020-07-13,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2TestedInDayRange,90,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,3676,"[-1, 14]"
2020-07-13,White,firstorLastARItoFirstSARSCoV2TestedInDayRange,4398,"[-1, 14]"
2020-07-13,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2DetectedInDayRange,5,"[-1, 14]"
2020-07-13,Asian,firstorLastARItoFirstSARSCoV2DetectedInDayRange,86,"[-1, 14]"
2020-07-13,Black or African American,firstorLastARItoFirstSARSCoV2DetectedInDayRange,29,"[-1, 14]"
2020-07-13,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2DetectedInDayRange,11,"[-1, 14]"
2020-07-13,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,626,"[-1, 14]"
2020-07-13,White,firstorLastARItoFirstSARSCoV2DetectedInDayRange,289,"[-1, 14]"
