run_date,ethnicityConcept,variable,value,Range
2020-06-17,Hispanic or Latino,ARIVisitInTimeRange,5997,"['2020-01-01', '2020-06-17']"
2020-06-17,No matching concept,ARIVisitInTimeRange,7217,"['2020-01-01', '2020-06-17']"
2020-06-17,Not Hispanic or Latino,ARIVisitInTimeRange,26416,"['2020-01-01', '2020-06-17']"
2020-06-17,Hispanic or Latino,SARSCoV2TestedInTimeRange,6339,"['2020-01-01', '2020-06-17']"
2020-06-17,No matching concept,SARSCoV2TestedInTimeRange,15022,"['2020-01-01', '2020-06-17']"
2020-06-17,Not Hispanic or Latino,SARSCoV2TestedInTimeRange,30098,"['2020-01-01', '2020-06-17']"
2020-06-17,Hispanic or Latino,SARSCoV2DetectedInTimeRange,386,"['2020-01-01', '2020-06-17']"
2020-06-17,No matching concept,SARSCoV2DetectedInTimeRange,869,"['2020-01-01', '2020-06-17']"
2020-06-17,Not Hispanic or Latino,SARSCoV2DetectedInTimeRange,539,"['2020-01-01', '2020-06-17']"
2020-06-17,Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,1120,"[-1, 14]"
2020-06-17,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,1494,"[-1, 14]"
2020-06-17,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2TestedInDayRange,4806,"[-1, 14]"
2020-06-17,Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,220,"[-1, 14]"
2020-06-17,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,178,"[-1, 14]"
2020-06-17,Not Hispanic or Latino,firstorLastARItoFirstSARSCoV2DetectedInDayRange,242,"[-1, 14]"
