run_date,age,variable,value,Range
2020-07-21,"[00, 05)",ARIVisitInTimeRange,6512,"['2020-01-01', '2020-07-21']"
2020-07-21,"[05, 18)",ARIVisitInTimeRange,8717,"['2020-01-01', '2020-07-21']"
2020-07-21,"[18, 50)",ARIVisitInTimeRange,15393,"['2020-01-01', '2020-07-21']"
2020-07-21,"[50, 65)",ARIVisitInTimeRange,7250,"['2020-01-01', '2020-07-21']"
2020-07-21,"[65, 75)",ARIVisitInTimeRange,3757,"['2020-01-01', '2020-07-21']"
2020-07-21,"[75, 85)",ARIVisitInTimeRange,2002,"['2020-01-01', '2020-07-21']"
2020-07-21,"[85, 100)",ARIVisitInTimeRange,484,"['2020-01-01', '2020-07-21']"
2020-07-21,"[00, 05)",SARSCoV2TestedInTimeRange,1939,"['2020-01-01', '2020-07-21']"
2020-07-21,"[05, 18)",SARSCoV2TestedInTimeRange,4439,"['2020-01-01', '2020-07-21']"
2020-07-21,"[18, 50)",SARSCoV2TestedInTimeRange,39006,"['2020-01-01', '2020-07-21']"
2020-07-21,"[50, 65)",SARSCoV2TestedInTimeRange,16818,"['2020-01-01', '2020-07-21']"
2020-07-21,"[65, 75)",SARSCoV2TestedInTimeRange,10104,"['2020-01-01', '2020-07-21']"
2020-07-21,"[75, 85)",SARSCoV2TestedInTimeRange,5429,"['2020-01-01', '2020-07-21']"
2020-07-21,"[85, 100)",SARSCoV2TestedInTimeRange,1155,"['2020-01-01', '2020-07-21']"
2020-07-21,"[00, 05)",SARSCoV2DetectedInTimeRange,60,"['2020-01-01', '2020-07-21']"
2020-07-21,"[05, 18)",SARSCoV2DetectedInTimeRange,175,"['2020-01-01', '2020-07-21']"
2020-07-21,"[18, 50)",SARSCoV2DetectedInTimeRange,1526,"['2020-01-01', '2020-07-21']"
2020-07-21,"[50, 65)",SARSCoV2DetectedInTimeRange,579,"['2020-01-01', '2020-07-21']"
2020-07-21,"[65, 75)",SARSCoV2DetectedInTimeRange,233,"['2020-01-01', '2020-07-21']"
2020-07-21,"[75, 85)",SARSCoV2DetectedInTimeRange,137,"['2020-01-01', '2020-07-21']"
2020-07-21,"[85, 100)",SARSCoV2DetectedInTimeRange,52,"['2020-01-01', '2020-07-21']"
2020-07-21,"[00, 05)",firstorLastARItoFirstSARSCoV2TestedInDayRange,241,"[-1, 14]"
2020-07-21,"[05, 18)",firstorLastARItoFirstSARSCoV2TestedInDayRange,536,"[-1, 14]"
2020-07-21,"[18, 50)",firstorLastARItoFirstSARSCoV2TestedInDayRange,5032,"[-1, 14]"
2020-07-21,"[50, 65)",firstorLastARItoFirstSARSCoV2TestedInDayRange,2503,"[-1, 14]"
2020-07-21,"[65, 75)",firstorLastARItoFirstSARSCoV2TestedInDayRange,1272,"[-1, 14]"
2020-07-21,"[75, 85)",firstorLastARItoFirstSARSCoV2TestedInDayRange,669,"[-1, 14]"
2020-07-21,"[85, 100)",firstorLastARItoFirstSARSCoV2TestedInDayRange,131,"[-1, 14]"
2020-07-21,"[00, 05)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,45,"[-1, 14]"
2020-07-21,"[05, 18)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,103,"[-1, 14]"
2020-07-21,"[18, 50)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,696,"[-1, 14]"
2020-07-21,"[50, 65)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,243,"[-1, 14]"
2020-07-21,"[65, 75)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,74,"[-1, 14]"
2020-07-21,"[75, 85)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,25,"[-1, 14]"
2020-07-21,"[85, 100)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,15,"[-1, 14]"
