run_date,age,variable,value,Range
2020-06-28,"[00, 05)",ARIVisitInTimeRange,6445,"['2020-01-01', '2020-06-28']"
2020-06-28,"[05, 18)",ARIVisitInTimeRange,8468,"['2020-01-01', '2020-06-28']"
2020-06-28,"[18, 50)",ARIVisitInTimeRange,13934,"['2020-01-01', '2020-06-28']"
2020-06-28,"[50, 65)",ARIVisitInTimeRange,6537,"['2020-01-01', '2020-06-28']"
2020-06-28,"[65, 75)",ARIVisitInTimeRange,3408,"['2020-01-01', '2020-06-28']"
2020-06-28,"[75, 85)",ARIVisitInTimeRange,1816,"['2020-01-01', '2020-06-28']"
2020-06-28,"[85, 100)",ARIVisitInTimeRange,453,"['2020-01-01', '2020-06-28']"
2020-06-28,"[00, 05)",SARSCoV2TestedInTimeRange,1495,"['2020-01-01', '2020-06-28']"
2020-06-28,"[05, 18)",SARSCoV2TestedInTimeRange,2944,"['2020-01-01', '2020-06-28']"
2020-06-28,"[18, 50)",SARSCoV2TestedInTimeRange,31214,"['2020-01-01', '2020-06-28']"
2020-06-28,"[50, 65)",SARSCoV2TestedInTimeRange,13453,"['2020-01-01', '2020-06-28']"
2020-06-28,"[65, 75)",SARSCoV2TestedInTimeRange,8190,"['2020-01-01', '2020-06-28']"
2020-06-28,"[75, 85)",SARSCoV2TestedInTimeRange,4428,"['2020-01-01', '2020-06-28']"
2020-06-28,"[85, 100)",SARSCoV2TestedInTimeRange,995,"['2020-01-01', '2020-06-28']"
2020-06-28,"[00, 05)",SARSCoV2DetectedInTimeRange,28,"['2020-01-01', '2020-06-28']"
2020-06-28,"[05, 18)",SARSCoV2DetectedInTimeRange,82,"['2020-01-01', '2020-06-28']"
2020-06-28,"[18, 50)",SARSCoV2DetectedInTimeRange,1055,"['2020-01-01', '2020-06-28']"
2020-06-28,"[50, 65)",SARSCoV2DetectedInTimeRange,470,"['2020-01-01', '2020-06-28']"
2020-06-28,"[65, 75)",SARSCoV2DetectedInTimeRange,206,"['2020-01-01', '2020-06-28']"
2020-06-28,"[75, 85)",SARSCoV2DetectedInTimeRange,127,"['2020-01-01', '2020-06-28']"
2020-06-28,"[85, 100)",SARSCoV2DetectedInTimeRange,50,"['2020-01-01', '2020-06-28']"
2020-06-28,"[00, 05)",firstorLastARItoFirstSARSCoV2TestedInDayRange,199,"[-1, 14]"
2020-06-28,"[05, 18)",firstorLastARItoFirstSARSCoV2TestedInDayRange,369,"[-1, 14]"
2020-06-28,"[18, 50)",firstorLastARItoFirstSARSCoV2TestedInDayRange,4091,"[-1, 14]"
2020-06-28,"[50, 65)",firstorLastARItoFirstSARSCoV2TestedInDayRange,2062,"[-1, 14]"
2020-06-28,"[65, 75)",firstorLastARItoFirstSARSCoV2TestedInDayRange,1048,"[-1, 14]"
2020-06-28,"[75, 85)",firstorLastARItoFirstSARSCoV2TestedInDayRange,549,"[-1, 14]"
2020-06-28,"[85, 100)",firstorLastARItoFirstSARSCoV2TestedInDayRange,110,"[-1, 14]"
2020-06-28,"[00, 05)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,18,"[-1, 14]"
2020-06-28,"[05, 18)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,42,"[-1, 14]"
2020-06-28,"[18, 50)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,451,"[-1, 14]"
2020-06-28,"[50, 65)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,171,"[-1, 14]"
2020-06-28,"[65, 75)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,58,"[-1, 14]"
2020-06-28,"[75, 85)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,20,"[-1, 14]"
2020-06-28,"[85, 100)",firstorLastARItoFirstSARSCoV2DetectedInDayRange,12,"[-1, 14]"
