run_date,raceConcept,variable,value,Range
2020-06-28,American Indian or Alaska Native,ARIVisitInTimeRange,105,"['2020-01-01', '2020-06-28']"
2020-06-28,Asian,ARIVisitInTimeRange,7219,"['2020-01-01', '2020-06-28']"
2020-06-28,Black or African American,ARIVisitInTimeRange,1450,"['2020-01-01', '2020-06-28']"
2020-06-28,Native Hawaiian or Other Pacific Islander,ARIVisitInTimeRange,468,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,ARIVisitInTimeRange,13838,"['2020-01-01', '2020-06-28']"
2020-06-28,White,ARIVisitInTimeRange,18079,"['2020-01-01', '2020-06-28']"
2020-06-28,American Indian or Alaska Native,SARSCoV2TestedInTimeRange,168,"['2020-01-01', '2020-06-28']"
2020-06-28,Asian,SARSCoV2TestedInTimeRange,8680,"['2020-01-01', '2020-06-28']"
2020-06-28,Black or African American,SARSCoV2TestedInTimeRange,1924,"['2020-01-01', '2020-06-28']"
2020-06-28,Native Hawaiian or Other Pacific Islander,SARSCoV2TestedInTimeRange,631,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2TestedInTimeRange,25804,"['2020-01-01', '2020-06-28']"
2020-06-28,White,SARSCoV2TestedInTimeRange,25598,"['2020-01-01', '2020-06-28']"
2020-06-28,American Indian or Alaska Native,SARSCoV2DetectedInTimeRange,5,"['2020-01-01', '2020-06-28']"
2020-06-28,Asian,SARSCoV2DetectedInTimeRange,141,"['2020-01-01', '2020-06-28']"
2020-06-28,Black or African American,SARSCoV2DetectedInTimeRange,34,"['2020-01-01', '2020-06-28']"
2020-06-28,Native Hawaiian or Other Pacific Islander,SARSCoV2DetectedInTimeRange,14,"['2020-01-01', '2020-06-28']"
2020-06-28,No matching concept,SARSCoV2DetectedInTimeRange,1383,"['2020-01-01', '2020-06-28']"
2020-06-28,White,SARSCoV2DetectedInTimeRange,449,"['2020-01-01', '2020-06-28']"
2020-06-28,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2TestedInDayRange,20,"[-1, 14]"
2020-06-28,Asian,firstorLastARItoFirstSARSCoV2TestedInDayRange,1155,"[-1, 14]"
2020-06-28,Black or African American,firstorLastARItoFirstSARSCoV2TestedInDayRange,241,"[-1, 14]"
2020-06-28,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2TestedInDayRange,79,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2TestedInDayRange,3139,"[-1, 14]"
2020-06-28,White,firstorLastARItoFirstSARSCoV2TestedInDayRange,3809,"[-1, 14]"
2020-06-28,American Indian or Alaska Native,firstorLastARItoFirstSARSCoV2DetectedInDayRange,0,"[-1, 14]"
2020-06-28,Asian,firstorLastARItoFirstSARSCoV2DetectedInDayRange,74,"[-1, 14]"
2020-06-28,Black or African American,firstorLastARItoFirstSARSCoV2DetectedInDayRange,19,"[-1, 14]"
2020-06-28,Native Hawaiian or Other Pacific Islander,firstorLastARItoFirstSARSCoV2DetectedInDayRange,5,"[-1, 14]"
2020-06-28,No matching concept,firstorLastARItoFirstSARSCoV2DetectedInDayRange,464,"[-1, 14]"
2020-06-28,White,firstorLastARItoFirstSARSCoV2DetectedInDayRange,214,"[-1, 14]"
